CCCM_IDP_Site_Code,Region,District,IDP_Site,Latitude,Longitude
CCCM-SO1302-0024,Togdheer,Buuhoodle,Xarunta Xerta Buhodle,8.2473127,46.3481966
CCCM-SO2402-0006,Bay,Buur Hakaba,Aye Dhurey,2.7876373,44.0692244
CCCM-SO2402-0007,Bay,Buur Hakaba,Degdheer,2.7760342,44.0782933
CCCM-SO2402-0022,Bay,Buur Hakaba,Masuusow,2.8133353,44.0774092
CCCM-SO2402-0005,Bay,Buur Hakaba,Misaare,2.7788534,44.0819337
CCCM-SO2402-0009,Bay,Buur Hakaba,Reebey,2.7788723,44.0818947
CCCM-SO1902-0001,Galgaduud,Cabudwaaq,Ajuuraan,6.2463424,46.231134
CCCM-SO1902-0021,Galgaduud,Cabudwaaq,Alla Amin,6.2494813,46.2392961
CCCM-SO1902-0034,Galgaduud,Cabudwaaq,Arladi IDP,6.2251485,46.2366623
CCCM-SO1902-0003,Galgaduud,Cabudwaaq,Baal Goray,6.2371801,46.2456851
CCCM-SO1902-0027,Galgaduud,Cabudwaaq,Badbaado,6.2564994,46.2051662
CCCM-SO1902-0035,Galgaduud,Cabudwaaq,Baligarasle,6.2703355,46.2122817
CCCM-SO1902-0005,Galgaduud,Cabudwaaq,Baligiish,6.2745419,46.2297058
CCCM-SO1902-0006,Galgaduud,Cabudwaaq,Barre Dheere,6.2520979,46.208725
CCCM-SO1902-0008,Galgaduud,Cabudwaaq,Danwadaag,6.2500023,46.2615373
CCCM-SO1902-0028,Galgaduud,Cabudwaaq,Daryeel,6.2517713,46.239751
CCCM-SO1902-0009,Galgaduud,Cabudwaaq,Dayacan,6.2372314,46.1824934
CCCM-SO1902-0010,Galgaduud,Cabudwaaq,Farjano,6.2277044,46.1976715
CCCM-SO1902-0029,Galgaduud,Cabudwaaq,Guulwade,6.2665993,46.2103024
CCCM-SO1902-0011,Galgaduud,Cabudwaaq,Jaqafaabir,6.2518674,46.2422999
CCCM-SO1902-0012,Galgaduud,Cabudwaaq,Kaxandhaale,6.2385832,46.2410364
CCCM-SO1902-0007,Galgaduud,Cabudwaaq,Kulmiye,6.2753182,46.2382454
CCCM-SO1902-0013,Galgaduud,Cabudwaaq,Laandheer,6.2316572,46.2085255
CCCM-SO1902-0030,Galgaduud,Cabudwaaq,Laanjabane,6.2462823,46.243221
CCCM-SO1902-0014,Galgaduud,Cabudwaaq,Mahad Alle,6.2787769,46.2388744
CCCM-SO1902-0015,Galgaduud,Cabudwaaq,Mareere,6.2569964,46.1984296
CCCM-SO1902-0016,Galgaduud,Cabudwaaq,Nasiye,6.2265437,46.2162686
CCCM-SO1902-0039,Galgaduud,Cabudwaaq,Qabri xaaji,6.2171495,46.2287711
CCCM-SO1902-0031,Galgaduud,Cabudwaaq,Qalaanqale,6.2826619,46.2314675
CCCM-SO1902-0022,Galgaduud,Cabudwaaq,Qorraxeey,6.2737982,46.2511696
CCCM-SO1902-0017,Galgaduud,Cabudwaaq,Salaama,6.262116,46.193178
CCCM-SO1902-0023,Galgaduud,Cabudwaaq,Samsam,6.2743984,46.2265516
CCCM-SO1902-0040,Galgaduud,Cabudwaaq,Sanaag,6.2806218,46.1972034
CCCM-SO1902-0033,Galgaduud,Cabudwaaq,Somaliwayn,6.280729,46.2251002
CCCM-SO1902-0018,Galgaduud,Cabudwaaq,Tawakal,6.2818157,46.2502135
CCCM-SO1902-0019,Galgaduud,Cabudwaaq,Wadajir,6.2517859,46.2041424
CCCM-SO1902-0020,Galgaduud,Cabudwaaq,Xurfada,6.2537048,46.1997143
CCCM-SO1903-0001,Galgaduud,Cadaado,Badbaado,6.1311963,46.6092433
CCCM-SO1903-0007,Galgaduud,Cadaado,Bari,6.1254275,46.6421877
CCCM-SO1903-0009,Galgaduud,Cadaado,Ceymis,6.1383916,46.6308657
CCCM-SO1903-0002,Galgaduud,Cadaado,Daryeel,6.1281066,46.6232614
CCCM-SO1903-0003,Galgaduud,Cadaado,Hebed,6.1343273,46.6405159
CCCM-SO1903-0008,Galgaduud,Cadaado,Hilac,6.1196099,46.6386361
CCCM-SO1903-0005,Galgaduud,Cadaado,Karama/Camp,6.1425512,46.6186426
CCCM-SO1903-0006,Galgaduud,Cadaado,Kulmiye,6.1473618,46.6406754
CCCM-SO1903-0011,Galgaduud,Cadaado,Mudug,6.1218828,46.6406027
CCCM-SO1903-0010,Galgaduud,Cadaado,Xara Dheere,6.1278493,46.6232793
CCCM-SO1402-0001,Sool,Caynabo,Aamusoo Dhuuq,,
CCCM-SO1402-0002,Sool,Caynabo,Cawaale,8.9262291,46.2595591
CCCM-SO1402-0003,Sool,Caynabo,Caynaba A,8.957761361,46.41491358
CCCM-SO1402-0004,Sool,Caynabo,Caynaba B,8.947051483,46.39991156
CCCM-SO1402-0006,Sool,Caynabo,God Dhuub,8.940026905,46.57165439
CCCM-SO1402-0008,Sool,Caynabo,Taygara,9.091799125,46.6902323
CCCM-SO1402-0009,Sool,Caynabo,Yamayska,8.9363342,46.6349836
CCCM-SO1502-0001,Sanaag,Ceel Afweyn,Buurdhuubo,9.932824025,47.21324498
CCCM-SO1502-0002,Sanaag,Ceel Afweyn,Ceel Midgaan,9.726497875,47.11222303
CCCM-SO1502-0003,Sanaag,Ceel Afweyn,Fadhi Gaab / Fadhigaab,9.661387825,47.006501
CCCM-SO1502-0005,Sanaag,Ceel Afweyn,Karasharka,9.4670522,46.84106383
CCCM-SO1502-0006,Sanaag,Ceel Afweyn,Mijo Maqarshe,9.48705825,46.8612322
CCCM-SO1502-0007,Sanaag,Ceel Afweyn,Wargumbi,9.584258825,46.94766425
CCCM-SO2502-0005,Bakool,Ceel Barde,Buulo Shiidle,4.8228919,43.6606564
CCCM-SO2502-0001,Bakool,Ceel Barde,Gargaar,4.8259044,43.6712316
CCCM-SO2502-0004,Bakool,Ceel Barde,Wargadhweyne,4.8034106,43.662551
CCCM-SO2604-0010,Gedo,Ceel Waaq,A1,2.7741052,41.0252767
CCCM-SO2604-0001,Gedo,Ceel Waaq,Bardera,2.809485,41.01926667
CCCM-SO2604-0008,Gedo,Ceel Waaq,Bula Garas,2.7811761,41.0012011
CCCM-SO2604-0004,Gedo,Ceel Waaq,Caracase,2.795507,41.021283
CCCM-SO2604-0011,Gedo,Ceel Waaq,Dirhara,2.778417,41.035246
CCCM-SO2604-0005,Gedo,Ceel Waaq,Dudun Dheer,2.776695,41.012773
CCCM-SO2604-0009,Gedo,Ceel Waaq,Gambia,2.7912355,41.0010397
CCCM-SO2604-0006,Gedo,Ceel Waaq,Malka Hida,2.796843,40.989758
CCCM-SO2604-0003,Gedo,Ceel Waaq,Qoryole,2.791930867,40.99624612
CCCM-SO1501-0001,Sanaag,Ceerigaabo,Bendersamo / Guryasamo / Goryosamo,10.51993702,48.39893091
CCCM-SO1501-0002,Sanaag,Ceerigaabo,Booda Cadde,9.878801223,47.66575559
CCCM-SO1501-0003,Sanaag,Ceerigaabo,Caydhaha,10.60160683,47.36502575
CCCM-SO1501-0005,Sanaag,Ceerigaabo,Darasalam / Darasalaam,10.29368828,47.87637851
CCCM-SO1501-0006,Sanaag,Ceerigaabo,Dhanaha,10.61207226,48.36139588
CCCM-SO1501-0007,Sanaag,Ceerigaabo,Guryasamo / Dayacan / Xafad Somal,10.61586512,47.36112588
CCCM-SO1501-0009,Sanaag,Ceerigaabo,Jiicanyo,10.39964365,48.38864962
CCCM-SO1501-0010,Sanaag,Ceerigaabo,Shimbiraale,10.14113919,47.90708286
CCCM-SO1501-0011,Sanaag,Ceerigaabo,Waridaad,9.703237996,48.05859205
CCCM-SO1501-0012,Sanaag,Ceerigaabo,Xafad Somali / Guryasamo / Xafad Somal,10.6203027,47.37289296
CCCM-SO1901-0001,Galgaduud,Dhuusamarreeb,Alcadalla,5.5227791,46.3830627
CCCM-SO1901-0002,Galgaduud,Dhuusamarreeb,Amano,5.5347153,46.3973227
CCCM-SO1901-0003,Galgaduud,Dhuusamarreeb,Arlaadi,5.5497362,46.3854414
CCCM-SO1901-0008,Galgaduud,Dhuusamarreeb,Caagan camp,5.5244333,46.3895433
CCCM-SO1901-0048,Galgaduud,Dhuusamarreeb,Ceel Xaamud,5.5290924,46.3936233
CCCM-SO1901-0049,Galgaduud,Dhuusamarreeb,Dawacoley,5.5455936,46.3687797
CCCM-SO1901-0004,Galgaduud,Dhuusamarreeb,Hanaano,5.524565,46.387035
CCCM-SO1901-0005,Galgaduud,Dhuusamarreeb,Hayaan,5.5330833,46.3959009
CCCM-SO1901-0052,Galgaduud,Dhuusamarreeb,Hillaac Camp,5.5504287,46.3759927
CCCM-SO1901-0007,Galgaduud,Dhuusamarreeb,Ilbir,5.5525021,46.387175
CCCM-SO1901-0009,Galgaduud,Dhuusamarreeb,Oog Camp,5.5446049,46.3844535
CCCM-SO1901-0006,Galgaduud,Dhuusamarreeb,Qaydley Camp,5.5313158,46.3708598
CCCM-SO1901-0063,Galgaduud,Dhuusamarreeb,Shabeelle Camp,5.5452572,46.380993
CCCM-SO1901-0010,Galgaduud,Dhuusamarreeb,Xera Military,5.5269949,46.3852905
CCCM-SO1901-0011,Galgaduud,Dhuusamarreeb,Af-Cagaag,5.2958239,45.8924291
CCCM-SO1901-0012,Galgaduud,Dhuusamarreeb,Al Caddaala,5.3039871,45.8880492
CCCM-SO1901-0013,Galgaduud,Dhuusamarreeb,Barakeye,5.3081289,45.8708641
CCCM-SO1901-0014,Galgaduud,Dhuusamarreeb,Barwaqo,5.3048355,45.8777718
CCCM-SO1901-0016,Galgaduud,Dhuusamarreeb,Celjiroow,5.3173466,45.917331
CCCM-SO1901-0017,Galgaduud,Dhuusamarreeb,Dabely,5.3366841,45.8808592
CCCM-SO1901-0018,Galgaduud,Dhuusamarreeb,Dalab,5.3243417,45.86576
CCCM-SO1901-0019,Galgaduud,Dhuusamarreeb,Damanyo,5.2997776,45.8884005
CCCM-SO1901-0020,Galgaduud,Dhuusamarreeb,Danwadaag,5.3066454,45.8601762
CCCM-SO1901-0021,Galgaduud,Dhuusamarreeb,Dhagaqal,5.3201157,45.8802116
CCCM-SO1901-0022,Galgaduud,Dhuusamarreeb,Dhegaweyne,5.3214516,45.8705166
CCCM-SO1901-0023,Galgaduud,Dhuusamarreeb,Dulmi Diid,5.3227683,45.8618833
CCCM-SO1901-0025,Galgaduud,Dhuusamarreeb,Farey,5.3056088,45.8977888
CCCM-SO1901-0061,Galgaduud,Dhuusamarreeb,Joolaal,5.2852914,45.8676045
CCCM-SO1901-0026,Galgaduud,Dhuusamarreeb,Gaashaan,5.3274667,45.8511912
CCCM-SO1901-0030,Galgaduud,Dhuusamarreeb,Harqabowe,5.3134137,45.9097706
CCCM-SO1901-0031,Galgaduud,Dhuusamarreeb,Harwanag,5.2857037,45.8845282
CCCM-SO1901-0032,Galgaduud,Dhuusamarreeb,Istarlin,5.32036,45.888168
CCCM-SO1901-0035,Galgaduud,Dhuusamarreeb,Kolleej,5.303519,45.8903624
CCCM-SO1901-0036,Galgaduud,Dhuusamarreeb,Koryeeri,5.3010418,45.8895738
CCCM-SO1901-0037,Galgaduud,Dhuusamarreeb,Labixaluul,5.310667,45.8665436
CCCM-SO1901-0038,Galgaduud,Dhuusamarreeb,Qamar,5.3206323,45.8717978
CCCM-SO1901-0039,Galgaduud,Dhuusamarreeb,Qotiro,5.3087514,45.8854483
CCCM-SO1901-0042,Galgaduud,Dhuusamarreeb,Siligle,5.292216,45.8830999
CCCM-SO1901-0045,Galgaduud,Dhuusamarreeb,Ulo Dheer,5.3341317,45.8608617
CCCM-SO1901-0046,Galgaduud,Dhuusamarreeb,Xagay,5.3245433,45.8629079
CCCM-SO1901-0047,Galgaduud,Dhuusamarreeb,Xareed,5.3024178,45.8909078
CCCM-SO2403-0012,Bay,Diinsoor,Biile 1,2.4170469,42.9691482
CCCM-SO2403-0013,Bay,Diinsoor,Biile 2,2.415165,42.9702117
CCCM-SO2403-0016,Bay,Diinsoor,Buur Madow,2.4078223,42.9852233
CCCM-SO2403-0002,Bay,Diinsoor,Doger Hosle,2.41529987,42.97719543
CCCM-SO2403-0003,Bay,Diinsoor,Jilelow,2.41999848,42.96971372
CCCM-SO2403-0004,Bay,Diinsoor,Kananax,2.40699598,42.98342999
CCCM-SO2403-0005,Bay,Diinsoor,Korka Mare,2.42020321,42.9674291
CCCM-SO2403-0006,Bay,Diinsoor,Qot Qot,2.40036819,42.98468842
CCCM-SO2403-0007,Bay,Diinsoor,Ramadhabi,2.41560269,42.98306593
CCCM-SO2403-0008,Bay,Diinsoor,Raxole,2.40863655,42.98329525
CCCM-SO2403-0009,Bay,Diinsoor,Sakow,2.407107,42.96162781
CCCM-SO2403-0010,Bay,Diinsoor,Tuni,2.39994508,42.97980411
CCCM-SO2403-0015,Bay,Diinsoor,Waraaja,2.4002517,42.98536
CCCM-SO2403-0011,Bay,Diinsoor,Yaqashid,2.40707125,42.96535158
CCCM-SO2605-0001,Gedo,Doolow,Kabasa,4.16162009,42.0950819
CCCM-SO2605-0003,Gedo,Doolow,Kaxareey,4.1280916,42.0711615
CCCM-SO2605-0004,Gedo,Doolow,Ladan,4.1541509,42.107522
CCCM-SO2605-0002,Gedo,Doolow,Qansaxley,4.142556695,42.06347492
CCCM-SO2605-0005,Gedo,Doolow,Qurdubey,4.180301667,42.12915333
CCCM-SO1801-0001,Mudug,Gaalkacyo,Afarta Kaare,6.76134203,47.42076079
CCCM-SO1801-0006,Mudug,Gaalkacyo,Alla'Aamin 1,6.8468548,47.4254644
CCCM-SO1801-0007,Mudug,Gaalkacyo,Alla'Aamin 2,6.8469886,47.4251915
CCCM-SO1801-0009,Mudug,Gaalkacyo,Ayah,6.8102372,47.3915036
CCCM-SO1801-0013,Mudug,Gaalkacyo,Bakool Sare,6.77294,47.4038395
CCCM-SO1801-0014,Mudug,Gaalkacyo,Barwaqo,6.7896222,47.4009245
CCCM-SO1801-0019,Mudug,Gaalkacyo,Buulo Agoon,6.8486733,47.4265933
CCCM-SO1801-0118,Mudug,Gaalkacyo,Buulo Bacleey,6.769027,47.4368082
CCCM-SO1801-0022,Mudug,Gaalkacyo,Buulo Bidaar,6.7654155,47.44143269
CCCM-SO1801-0024,Mudug,Gaalkacyo,Buulo Kontrool,6.7625809,47.4264877
CCCM-SO1801-0030,Mudug,Gaalkacyo,Danwadag,6.837239,47.4154913
CCCM-SO1801-0033,Mudug,Gaalkacyo,Dayax 1,6.8087367,47.4032229
CCCM-SO1801-0119,Mudug,Gaalkacyo,Farxaan,7.2949691,47.5729848
CCCM-SO1801-0120,Mudug,Gaalkacyo,Halabokhad,6.853588,47.4127335
CCCM-SO1801-0045,Mudug,Gaalkacyo,Hilaal Yamen,6.7919786,47.4291027
CCCM-SO1801-0200,Mudug,Gaalkacyo,Jeexdin,6.8650996,47.5311124
CCCM-SO1801-0122,Mudug,Gaalkacyo,Khayrdoon,7.2292904,47.5294792
CCCM-SO1801-0055,Mudug,Gaalkacyo,Kulmiye,6.7692606,47.4109578
CCCM-SO1801-0056,Mudug,Gaalkacyo,Kulmiye - Balli Abaar,6.8600151,47.4425228
CCCM-SO1801-0060,Mudug,Gaalkacyo,Liibaan 1,6.80009344,47.40321059
CCCM-SO1801-0061,Mudug,Gaalkacyo,Liibaan 2,6.79807955,47.4000279
CCCM-SO1801-0123,Mudug,Gaalkacyo,Madiinas,6.862092,47.4414587
CCCM-SO1801-0124,Mudug,Gaalkacyo,Margaago,7.2136934,47.5377045
CCCM-SO1801-0066,Mudug,Gaalkacyo,Mudug Sare,6.8206477,47.4115027
CCCM-SO1801-0067,Mudug,Gaalkacyo,Mustaqbal 1,6.86440393,47.44225118
CCCM-SO1801-0068,Mudug,Gaalkacyo,Mustaqbal 2A,6.80475643,47.41290041
CCCM-SO1801-0069,Mudug,Gaalkacyo,Mustaqbal 2B,6.8491231,47.4234933
CCCM-SO1801-0070,Mudug,Gaalkacyo,Najax,6.8159879,47.3882554
CCCM-SO1801-0071,Mudug,Gaalkacyo,New Donyale,6.84417154,47.41571374
CCCM-SO1801-0072,Mudug,Gaalkacyo,Orshe,6.83508225,47.42332165
CCCM-SO1801-0125,Mudug,Gaalkacyo,Ramaas,7.3658069,47.6446971
CCCM-SO1801-0075,Mudug,Gaalkacyo,Raysqaboobe,6.8587628,47.4496509
CCCM-SO1801-0126,Mudug,Gaalkacyo,Salaam 2,6.8531592,47.4387756
CCCM-SO1801-0127,Mudug,Gaalkacyo,Salama 1,6.8512778,47.4401839
CCCM-SO1801-0078,Mudug,Gaalkacyo,Samawada 1,6.7741327,47.4060771
CCCM-SO1801-0079,Mudug,Gaalkacyo,Samawade 2,6.7819413,47.4005702
CCCM-SO1801-0082,Mudug,Gaalkacyo,Syl,6.79654891,47.38905171
CCCM-SO1801-0083,Mudug,Gaalkacyo,Talo Cad,6.8690574,47.4446417
CCCM-SO1801-0128,Mudug,Gaalkacyo,Tawakal,6.8129672,47.4580959
CCCM-SO1801-0085,Mudug,Gaalkacyo,Waaya Arag,6.8376288,47.4126412
CCCM-SO1801-0129,Mudug,Gaalkacyo,Wadajir,6.7936334,47.3887857
CCCM-SO1801-0087,Mudug,Gaalkacyo,Warshad Galay 2,6.8099485,47.400982
CCCM-SO1801-0088,Mudug,Gaalkacyo,Warshad Galey,6.7687058,47.4212574
CCCM-SO1801-0089,Mudug,Gaalkacyo,Wayo Arag Two,6.81284012,47.38978277
CCCM-SO1801-0002,Mudug,Gaalkacyo,Al Nasiib 1,6.6926727,47.4349311
CCCM-SO1801-0003,Mudug,Gaalkacyo,Alanley,6.7236252,47.442074
CCCM-SO1801-0004,Mudug,Gaalkacyo,Alcadaala,6.6935282,47.4350472
CCCM-SO1801-0005,Mudug,Gaalkacyo,Alkharash,6.716768,47.417335
CCCM-SO1801-0008,Mudug,Gaalkacyo,Arafat,6.7307227,47.4347028
CCCM-SO1801-0011,Mudug,Gaalkacyo,Baantu 2,6.756315,47.437857
CCCM-SO1801-0012,Mudug,Gaalkacyo,Badbaado,6.6882969,47.4353169
CCCM-SO1801-0015,Mudug,Gaalkacyo,Baxsan 1,6.764857,47.4445836
CCCM-SO1801-0016,Mudug,Gaalkacyo,Baxsan 2,6.7665033,47.4331017
CCCM-SO1801-0020,Mudug,Gaalkacyo,Buulo Ajuuran,6.6928759,47.4340912
CCCM-SO1801-0023,Mudug,Gaalkacyo,Buulo Bishaaro,6.760461,47.4494176
CCCM-SO1801-0025,Mudug,Gaalkacyo,Buulonooto,6.7528514,47.4485004
CCCM-SO1801-0026,Mudug,Gaalkacyo,Sahal,6.74033,47.4414455
CCCM-SO1801-0027,Mudug,Gaalkacyo,Ceel Gaab,6.7258586,47.4422353
CCCM-SO1801-0028,Mudug,Gaalkacyo,Ceel Gaab 2,6.6952052,47.4306652
CCCM-SO1801-0029,Mudug,Gaalkacyo,Ciise,6.7650998,47.4359431
CCCM-SO1801-0031,Mudug,Gaalkacyo,Danyar,6.692172,47.4305046
CCCM-SO1801-0032,Mudug,Gaalkacyo,Daryeel,6.7614277,47.4266483
CCCM-SO1801-0034,Mudug,Gaalkacyo,Deegan,6.7613431,47.4271559
CCCM-SO1801-0035,Mudug,Gaalkacyo,Dooxa Mudugs,6.7614568,47.4266278
CCCM-SO1801-0037,Mudug,Gaalkacyo,Galad,6.727699921,47.44411343
CCCM-SO1801-0038,Mudug,Gaalkacyo,Gargaar,6.752449,47.437857
CCCM-SO1801-0039,Mudug,Gaalkacyo,Gurmad,6.7636688,47.4897242
CCCM-SO1801-0040,Mudug,Gaalkacyo,Guuleed,6.72949,47.423975
CCCM-SO1801-0041,Mudug,Gaalkacyo,Taxane,6.7619047,47.4379071
CCCM-SO1801-0042,Mudug,Gaalkacyo,Hayaan Bacadweyn,6.7637453,47.4380478
CCCM-SO1801-0043,Mudug,Gaalkacyo,Hayan,6.6925273,47.4344312
CCCM-SO1801-0044,Mudug,Gaalkacyo,Hilaal Yaman,6.6920685,47.4336121
CCCM-SO1801-0047,Mudug,Gaalkacyo,Hiraan 2,6.754478,47.43755
CCCM-SO1801-0049,Mudug,Gaalkacyo,Hiraan 4,6.6921145,47.4392009
CCCM-SO1801-0050,Mudug,Gaalkacyo,Horseed,6.7563257,47.4427585
CCCM-SO1801-0052,Mudug,Gaalkacyo,Isxaaq,6.753561194,47.41970784
CCCM-SO1801-0053,Mudug,Gaalkacyo,Janale,6.7180851,47.4211587
CCCM-SO1801-0059,Mudug,Gaalkacyo,Liibaan,6.7248612,47.4417377
CCCM-SO1801-0062,Mudug,Gaalkacyo,Mahad Alle,6.6963668,47.4294427
CCCM-SO1801-0064,Mudug,Gaalkacyo,Midnimo,6.7567147,47.4447449
CCCM-SO1801-0065,Mudug,Gaalkacyo,Mudugs,6.6969982,47.4306872
CCCM-SO1801-0073,Mudug,Gaalkacyo,Qorahey1,6.6944167,47.3850768
CCCM-SO1801-0080,Mudug,Gaalkacyo,Sirmaqabo,6.6919824,47.4372731
CCCM-SO1801-0081,Mudug,Gaalkacyo,Somaliwayn,6.7604613,47.4266769
CCCM-SO1801-0086,Mudug,Gaalkacyo,Wadataal,6.7251165,47.4396602
CCCM-SO1801-0091,Mudug,Gaalkacyo,Xaliye ,6.6916932,47.433395
CCCM-SO1801-0093,Mudug,Gaalkacyo,Cawaale,6.7593054,47.4428467
CCCM-SO1801-0098,Mudug,Gaalkacyo,Socdaal,6.6914757,47.4356742
CCCM-SO1801-0099,Mudug,Gaalkacyo,Takulo,6.6917034,47.3930462
CCCM-SO1801-0100,Mudug,Gaalkacyo,Baantu 3,6.7641356,47.4338741
CCCM-SO1801-0101,Mudug,Gaalkacyo,Baay Iyo Bakool,6.6917325,47.4405924
CCCM-SO1801-0102,Mudug,Gaalkacyo,Bardaale,6.6997308,47.4289731
CCCM-SO1801-0103,Mudug,Gaalkacyo,Bari Mudug,6.7620938,47.4451317
CCCM-SO1801-0104,Mudug,Gaalkacyo,Bulojawan 1,6.6932167,47.4380138
CCCM-SO1801-0105,Mudug,Gaalkacyo,Bulojawan 2,6.6932167,47.43801
CCCM-SO1801-0106,Mudug,Gaalkacyo,Buulo Ayaan,6.74491,47.426975
CCCM-SO1801-0107,Mudug,Gaalkacyo,Buurcad,6.6918875,47.4353393
CCCM-SO1801-0108,Mudug,Gaalkacyo,Golol,6.7297019,47.4447158
CCCM-SO1801-0109,Mudug,Gaalkacyo,Cays Dheere,6.6913704,47.4350157
CCCM-SO1801-0110,Mudug,Gaalkacyo,Fatxi,6.6896407,47.4367183
CCCM-SO1801-0111,Mudug,Gaalkacyo,Ciise 1,6.705951188,47.43179815
CCCM-SO1801-0112,Mudug,Gaalkacyo,Ibraahim,6.7554239,47.4235422
CCCM-SO1801-0114,Mudug,Gaalkacyo,Qoryooleey,6.6931038,47.4340311
CCCM-SO1801-0115,Mudug,Gaalkacyo,Sahan 1,6.7308617,47.42945
CCCM-SO1801-0116,Mudug,Gaalkacyo,Sahan 2,6.707262914,47.43448036
CCCM-SO1801-0130,Mudug,Gaalkacyo,Ifiye,6.7532737,47.4194648
CCCM-SO1801-0131,Mudug,Gaalkacyo,Fiqi,6.7286991,47.4490294
CCCM-SO1801-0132,Mudug,Gaalkacyo,Dayah,6.7276943,47.4345641
CCCM-SO1801-0121,Mudug,Gaalkacyo,Al amin ( Gas),6.687544,47.434428
CCCM-SO1801-0133,Mudug,Gaalkacyo,Karaama,6.756521,47.4204489
CCCM-SO1801-0134,Mudug,Gaalkacyo,Xarardheere,6.6930079,47.3944148
CCCM-SO1801-0135,Mudug,Gaalkacyo,Rinjileey,6.7271209,47.4780032
CCCM-SO1802-0007,Mudug,Galdogob,Al Rahmo,7.1856109,47.2642939
CCCM-SO1802-0001,Mudug,Galdogob,Allaale,7.049026,46.9878092
CCCM-SO1802-0008,Mudug,Galdogob,Barwaaqo,7.0403803,47.0108803
CCCM-SO1802-0009,Mudug,Galdogob,Dan Wadaag 2,7.1654199,47.2556026
CCCM-SO1802-0002,Mudug,Galdogob,Daryeel Galdogob,7.0421742,47.0194671
CCCM-SO1802-0010,Mudug,Galdogob,Himilo,7.1847618,47.2262866
CCCM-SO1802-0003,Mudug,Galdogob,Hodan,7.0435586,47.0176639
CCCM-SO1802-0004,Mudug,Galdogob,Hoodo,7.1819341,47.2305108
CCCM-SO1802-0005,Mudug,Galdogob,Horseed,7.1875514,47.2542309
CCCM-SO1802-0011,Mudug,Galdogob,Kalkaal,7.1925545,47.2494126
CCCM-SO1802-0006,Mudug,Galdogob,Salaama,7.0342176,47.0310001
CCCM-SO1802-0012,Mudug,Galdogob,Tawakal,7.2475257,47.1223564
CCCM-SO1802-0013,Mudug,Galdogob,Wadajir,7.0420848,47.0082564
CCCM-SO2601-0006,Gedo,Garbahaarey,Amin,3.3343303,42.2118151
CCCM-SO2601-0007,Gedo,Garbahaarey,Aqala Aar,3.3169999,42.2189098
CCCM-SO2601-0008,Gedo,Garbahaarey,Badbado,3.3342594,42.2076056
CCCM-SO2601-0009,Gedo,Garbahaarey,Dhure,3.3348017,42.2316138
CCCM-SO2601-0010,Gedo,Garbahaarey,Gogol,3.3282286,42.2357799
CCCM-SO2601-0011,Gedo,Garbahaarey,Gubo,3.3377769,42.2276935
CCCM-SO2601-0013,Gedo,Garbahaarey,Hartacad,3.3181967,42.2024936
CCCM-SO2601-0014,Gedo,Garbahaarey,Libaxlow,3.3390588,42.2242108
CCCM-SO2601-0015,Gedo,Garbahaarey,Sigaalow,3.33791,42.22332
CCCM-SO2601-0001,Gedo,Garbahaarey,Taftataag,3.3373555,42.2119603
CCCM-SO2601-0016,Gedo,Garbahaarey,Towfiq,3.3381485,42.2154121
CCCM-SO2601-0017,Gedo,Garbahaarey,Waberi,3.3294716,42.2357697
CCCM-SO2601-0002,Gedo,Garbahaarey,Warsan,3.3412306,42.2197648
CCCM-SO1701-0012,Nugaal,Garoowe,Ajuuran,8.4173137,48.5146851
CCCM-SO1701-0001,Nugaal,Garoowe,Al Amin,8.3953837,48.5191823
CCCM-SO1701-0002,Nugaal,Garoowe,Alkhayraat,8.4011523,48.5133537
CCCM-SO1701-0003,Nugaal,Garoowe,Allawakiil,8.4144903,48.5085273
CCCM-SO1701-0004,Nugaal,Garoowe,Banaadir,8.4151933,48.50626
CCCM-SO1701-0013,Nugaal,Garoowe,Buundo,8.4136001,48.5068781
CCCM-SO1701-0010,Nugaal,Garoowe,Camp 1,8.4148619,48.5076494
CCCM-SO1701-0011,Nugaal,Garoowe,Camp 4,8.4149266,48.5070393
CCCM-SO1701-0014,Nugaal,Garoowe,Hiiraan,8.4151738,48.5062191
CCCM-SO1701-0005,Nugaal,Garoowe,Jilab 3,8.3938007,48.5219057
CCCM-SO1701-0006,Nugaal,Garoowe,Jilab 4,8.394902,48.5215294
CCCM-SO1701-0007,Nugaal,Garoowe,Jilab 5,8.3949117,48.5215233
CCCM-SO1701-0008,Nugaal,Garoowe,Jilab 6,8.3968181,48.5197251
CCCM-SO1701-0009,Nugaal,Garoowe,Jowl Two,8.409529,48.5116172
CCCM-SO1701-0019,Nugaal,Garoowe,Kaamka Jiingadda,8.4144625,48.5114847
CCCM-SO1701-0020,Nugaal,Garoowe,Kaamka Riiga,8.41267,48.5049809
CCCM-SO1701-0021,Nugaal,Garoowe,Laan Cali Firin,8.3901387,48.5177643
CCCM-SO1701-0022,Nugaal,Garoowe,Lafo Barkato,8.413605,48.5068917
CCCM-SO1701-0015,Nugaal,Garoowe,Marko,8.4144366,48.5050063
CCCM-SO1701-0023,Nugaal,Garoowe,Muuse Rootile,8.413511,48.5047818
CCCM-SO1701-0024,Nugaal,Garoowe,Shabeelle,8.4182326,48.510004
CCCM-SO1701-0016,Nugaal,Garoowe,Siliga,8.4168298,48.5084359
CCCM-SO1701-0025,Nugaal,Garoowe,Tawakal,8.3956067,48.5188045
